direction,token,train_freq,train_pct,dev_freq,dev_pct,devtest_freq,devtest_pct
ar-hi/hi,भी,3029,0.3931,159,0.3387,76,0.3255
ar-hi/hi,अपने,2836,0.3681,155,0.3301,100,0.4282
ar-hi/hi,नहीं,2807,0.3643,150,0.3195,49,0.2098
ar-hi/hi,साथ,2771,0.3596,137,0.2918,79,0.3383
ar-hi/hi,"में,",2494,0.3237,153,0.3259,74,0.3169
ar-hi/hi,"हैं,",2410,0.3128,127,0.2705,62,0.2655
ar-hi/hi,गया,2392,0.3105,153,0.3259,69,0.2955
ar-hi/hi,हो,2293,0.2976,133,0.2833,62,0.2655
ar-hi/hi,तक,2221,0.2883,165,0.3514,78,0.334
ar-hi/hi,दिया,1966,0.2552,152,0.3237,80,0.3426
ar-hi/hi,द्वारा,1921,0.2493,121,0.2577,43,0.1841
ar-hi/hi,करना,1874,0.2432,101,0.2151,61,0.2612
ar-hi/hi,उन्होंने,1839,0.2387,148,0.3152,89,0.3811
ar-hi/hi,या,1813,0.2353,102,0.2172,40,0.1713
ar-hi/hi,अधिक,1763,0.2288,102,0.2172,48,0.2056
ar-hi/hi,करते,1750,0.2271,81,0.1725,51,0.2184
ar-hi/hi,महत्वपूर्ण,1703,0.221,133,0.2833,78,0.334
ar-hi/hi,बाद,1689,0.2192,114,0.2428,40,0.1713
ar-hi/hi,अपनी,1674,0.2173,111,0.2364,62,0.2655
ar-hi/hi,शामिल,1594,0.2069,118,0.2513,65,0.2784
ar-hi/hi,करता,1562,0.2027,90,0.1917,59,0.2527
ar-hi/hi,"अनुसार,",1547,0.2008,131,0.279,63,0.2698
ar-hi/hi,वाले,1503,0.1951,80,0.1704,34,0.1456
ar-hi/hi,हैं,1436,0.1864,70,0.1491,31,0.1328
ar-hi/hi,ही,1423,0.1847,66,0.1406,32,0.137
ar-hi/hi,उनके,1412,0.1833,81,0.1725,65,0.2784
ar-hi/hi,हुए,1359,0.1764,71,0.1512,45,0.1927
ar-hi/hi,इसके,1344,0.1744,99,0.2109,50,0.2141
ar-hi/hi,क्षेत्र,1343,0.1743,97,0.2066,45,0.1927
ar-hi/hi,था।,1328,0.1724,78,0.1661,31,0.1328
ar-hi/hi,कम,1313,0.1704,75,0.1597,30,0.1285
ar-hi/hi,बात,1313,0.1704,102,0.2172,70,0.2998
ar-hi/hi,बीच,1301,0.1689,80,0.1704,34,0.1456
ar-hi/hi,रहे,1236,0.1604,59,0.1257,27,0.1156
ar-hi/hi,कहा,1226,0.1591,112,0.2385,49,0.2098
ar-hi/hi,जिससे,1219,0.1582,105,0.2236,43,0.1841
ar-hi/hi,कारण,1217,0.158,127,0.2705,29,0.1242
ar-hi/hi,गई,1207,0.1567,62,0.1321,45,0.1927
ar-hi/hi,गए,1194,0.155,54,0.115,20,0.0856
ar-hi/hi,पहले,1182,0.1534,97,0.2066,33,0.1413
ar-hi/hi,कुछ,1182,0.1534,65,0.1384,26,0.1113
ar-hi/hi,लोगों,1165,0.1512,35,0.0745,16,0.0685
ar-hi/hi,रहा,1161,0.1507,69,0.147,32,0.137
ar-hi/hi,कई,1158,0.1503,69,0.147,40,0.1713
ar-hi/hi,होने,1140,0.148,74,0.1576,45,0.1927
ar-hi/hi,अमेरिकी,1127,0.1463,108,0.23,33,0.1413
ar-hi/hi,वह,1112,0.1443,56,0.1193,28,0.1199
ar-hi/hi,लगभग,1110,0.1441,88,0.1874,61,0.2612
ar-hi/hi,राज्य,1045,0.1356,61,0.1299,50,0.2141
ar-hi/hi,राष्ट्रपति,1037,0.1346,80,0.1704,41,0.1756
ar-hi/hi,संयुक्त,1024,0.1329,61,0.1299,35,0.1499
ar-hi/hi,देश,1020,0.1324,51,0.1086,42,0.1799
ar-hi/hi,जोर,1018,0.1321,95,0.2023,69,0.2955
ar-hi/hi,सकता,1012,0.1313,53,0.1129,14,0.06
ar-hi/hi,दौरान,1011,0.1312,74,0.1576,40,0.1713
ar-hi/hi,वे,1005,0.1304,57,0.1214,30,0.1285
ar-hi/hi,उन्हें,999,0.1297,50,0.1065,31,0.1328
ar-hi/hi,लेकिन,980,0.1272,37,0.0788,27,0.1156
ar-hi/hi,जाता,978,0.1269,43,0.0916,20,0.0856
ar-hi/hi,उनकी,963,0.125,54,0.115,27,0.1156
ar-hi/hi,बारे,955,0.1239,42,0.0895,18,0.0771
ar-hi/hi,वृद्धि,946,0.1228,83,0.1768,75,0.3212
ar-hi/hi,सबसे,945,0.1226,62,0.1321,12,0.0514
ar-hi/hi,सुरक्षा,925,0.1201,79,0.1683,34,0.1456
ar-hi/hi,इन,916,0.1189,45,0.0958,28,0.1199
ar-hi/hi,माध्यम,916,0.1189,59,0.1257,39,0.167
ar-hi/hi,जैसे,914,0.1186,56,0.1193,23,0.0985
ar-hi/hi,जिसमें,875,0.1136,68,0.1448,43,0.1841
ar-hi/hi,जब,870,0.1129,39,0.0831,11,0.0471
ar-hi/hi,"था,",864,0.1121,44,0.0937,10,0.0428
ar-hi/hi,किए,864,0.1121,44,0.0937,19,0.0814
ar-hi/hi,-,862,0.1119,14,0.0298,7,0.03
ar-hi/hi,समय,860,0.1116,64,0.1363,34,0.1456
ar-hi/hi,शुरू,856,0.1111,61,0.1299,24,0.1028
ar-hi/hi,कंपनी,847,0.1099,102,0.2172,25,0.1071
ar-hi/hi,तो,843,0.1094,35,0.0745,20,0.0856
ar-hi/hi,खिलाफ,823,0.1068,42,0.0895,27,0.1156
ar-ur/ar,في,19692,3.6207,1086,3.4133,542,3.4157
ar-ur/ar,من,13256,2.4373,661,2.0775,328,2.0671
ar-ur/ar,على,8982,1.6515,545,1.7129,273,1.7204
ar-ur/ar,إلى,6750,1.2411,469,1.4741,230,1.4495
ar-ur/ar,أن,6186,1.1374,468,1.4709,229,1.4432
ar-ur/ar,مع,2884,0.5303,152,0.4777,78,0.4916
ar-ur/ar,عن,2779,0.511,152,0.4777,75,0.4726
ar-ur/ar,التي,2773,0.5099,143,0.4494,74,0.4663
ar-ur/ar,ما,2395,0.4404,149,0.4683,63,0.397
ar-ur/ar,هذه,1904,0.3501,101,0.3174,47,0.2962
ar-ur/ar,أو,1898,0.349,92,0.2892,50,0.3151
ar-ur/ar,هذا,1801,0.3311,88,0.2766,33,0.208
ar-ur/ar,لا,1798,0.3306,57,0.1791,28,0.1765
ar-ur/ar,بعد,1498,0.2754,92,0.2892,34,0.2143
ar-ur/ar,الذي,1490,0.274,94,0.2954,34,0.2143
ar-ur/ar,خلال,1434,0.2637,118,0.3709,54,0.3403
ar-ur/ar,بين,1413,0.2598,72,0.2263,35,0.2206
ar-ur/ar,عام,1259,0.2315,42,0.132,39,0.2458
